Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading FAISS index from C:\Users\srabo\Desktop\masters-thesis\thesis-project\data\indexes\guidelines.index...
Loading ID map from C:\Users\srabo\Desktop\masters-thesis\thesis-project\data\indexes\id_map.json...
Loading embedding model sentence-transformers/all-MiniLM-L6-v2...
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights: 100%|\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588| 103/103 [00:00<00:00, 5558.23it/s]
Loading corpus texts...
  Model raw output (first 100): '{\n  "urgency": "Orange",\n  "specialty": "Urology",\n  "rationale": "The patient presents with signifi'
  Model raw output (first 100): '{\n  "urgency": "2",\n  "specialty": "General Surgery",\n  "rationale": "The patient presents with loca'
  Model raw output (first 100): '{\n  "urgency": "Red",\n  "specialty": "Emergency Medicine",\n  "rationale": "The patient presents with'
  Model raw output (first 100): '{\n  "urgency": "Yellow",\n  "specialty": "Ophthalmology",\n  "rationale": "The patient presents with e'
  Model raw output (first 100): '```json\n{"urgency": "orange", "specialty": "General Surgery", "rationale": "The patient is presentin'
  Model raw output (first 100): '{\n  "urgency": "Orange",\n  "specialty": "Gynecology",\n  "rationale": "The patient presents with seve'
  Model raw output (first 100): '```json\n{"urgency":"3","specialty":"Surgery","rationale":"The patient has a history of significant s'
  Model raw output (first 100): '{"urgency": "Yellow", "specialty": "General Surgery", "rationale": "The patient presents with perium'
  Model raw output (first 100): '{\n  "urgency": "Yellow",\n  "specialty": "Nephrology",\n  "rationale": "The patient is a renal transpl'
  Model raw output (first 100): '{\n  "urgency": "Orange",\n  "specialty": "General Surgery",\n  "rationale": "The patient has acute app'
  Model raw output (first 100): '{"urgency": "Orange", "specialty": "Orthopaedics", "rationale": "The patient has a displaced femoral'
  Model raw output (first 100): '{\n  "urgency": "Orange",\n  "specialty": "Neurology",\n  "rationale": "The patient experienced a head-'
  Model raw output (first 100): '{\n  "urgency": "Yellow",\n  "specialty": "General Surgery",\n  "rationale": "The patient presents with'
  Model raw output (first 100): '{\n  "urgency": "Yellow",\n  "specialty": "Neurology",\n  "rationale": "The patient has a history of th'
  Model raw output (first 100): '{\n  "urgency": "Yellow",\n  "specialty": "Surgical",\n  "rationale": "The patient is a 77-year-old mal'
  Model raw output (first 100): '{\n  "urgency": "Orange",\n  "specialty": "Gastroenterology",\n  "rationale": "Mr. ___ presents with ac'
  Model raw output (first 100): '```json\n{"urgency": "orange", "specialty": "neurology", "rationale": "The patient has presented afte'
  Model raw output (first 100): '```json\n{"urgency": "3", "specialty": "Surgery", "rationale": "The patient presents with a right foo'
  Model raw output (first 100): '{\n  "urgency": "Orange",\n  "specialty": "Cardiology",\n  "rationale": "The patient presents with cres'
  Model raw output (first 100): '{\n  "urgency": "Yellow",\n  "specialty": "Orthopedics",\n  "rationale": "The patient has a tibial plat'
  Model raw output (first 100): '{\n  "urgency": "Orange",\n  "specialty": "Gastroenterology",\n  "rationale": "The patient presents wit'
  Model raw output (first 100): '{"urgency": "Yellow", "specialty": "General Surgery", "rationale": "The patient presents with diffus'
  Model raw output (first 100): '```json\n{"urgency": "3", "specialty": "Orthopedics", "rationale": "The patient has a closed intra-ar'
  Model raw output (first 100): '{"urgency": "Orange", "specialty": "Gastroenterology", "rationale": "The patient has a history of re'
  Model raw output (first 100): '{\n  "urgency": "2",\n  "specialty": "Gastroenterology",\n  "rationale": "The patient presents with bri'
  Model raw output (first 100): '{"urgency": "Yellow", "specialty": "Surgery", "rationale": "The patient is POD #5 from laparoscopic '
  Model raw output (first 100): '{\n  "urgency": "Yellow",\n  "specialty": "General Surgery",\n  "rationale": "The patient presents with'
  Model raw output (first 100): '{"urgency": "2 Very urgent emergency care", "specialty": "Rheumatology", "rationale": "The patient h'
  Model raw output (first 100): '{\n  "urgency": "Orange",\n  "specialty": "Oncology",\n  "rationale": "The patient has a history of sta'
  Model raw output (first 100): '{\n  "urgency": "Orange",\n  "specialty": "General Surgery",\n  "rationale": "The patient presents with'
  Model raw output (first 100): '{\n  "urgency": "Orange",\n  "specialty": "Gastroenterology",\n  "rationale": "The patient presents wit'
  Model raw output (first 100): '{\n  "urgency": "Orange",\n  "specialty": "Neurology",\n  "rationale": "The patient has a right parieta'
  Model raw output (first 100): '{\n  "urgency": "2",\n  "specialty": "Neurology",\n  "rationale": "The patient presents with a history '
  Model raw output (first 100): '```json\n{"urgency": "Orange", "specialty": "General Surgery", "rationale": "The patient presents wit'
  Model raw output (first 100): '{\n  "urgency": "Yellow",\n  "specialty": "General Surgery",\n  "rationale": "The patient presents with'
  Model raw output (first 100): '{\n  "urgency": "Orange",\n  "specialty": "Gastroenterology",\n  "rationale": "The patient is experienc'
  Model raw output (first 100): '{\n  "urgency": "Orange",\n  "specialty": "Gastroenterology",\n  "rationale": "The patient presents wit'
  Model raw output (first 100): '{\n  "urgency": "Yellow",\n  "specialty": "Orthopedics",\n  "rationale": "The patient is an 88-year-old'
  Model raw output (first 100): '{\n  "urgency": "Orange",\n  "specialty": "Hematology",\n  "rationale": "The patient is an 86-year-old '
  Model raw output (first 100): '```json\n{"urgency": "Orange", "specialty": "Neurology", "rationale": "The patient has a history of s'
